title,text,label
a ameaca lula afirma que moro nao vivera pra velo preso...,declaracao bombastica de lula surpreendeu os que ouviram.pergunta que nao cala. quem ou o que garante tanto poder a esse sujeitopalavras ameacadoras cheias de duplo sentido.perguntado sobre o fantasma da possibilidade de prisao diante da possivel decisao de teori de devolver seu processo a moro o mais honesto nao poupou asneiras. nao sei nada sobre essa decisao de teori. mas se confirmar lhe preocupa quem tem que se preocupar e moro. posso ate ser preso mas ele nao estara vivo para comemorar. depois de um certo embaraco uma nova pergunta. o senhor considera que juiz de 1a instancia nao tem gabarito para julgalo nem de 1a nem de ultima. fui o melhor presidente da historia do brasil...eles tem e que me pedir desculpas.movimento populares pela democracia contra golpe mortadelas acampados no estacionamento do ginasio nelson piquet em brasilia.segundo morcego perguntas feitas por reporteres que cercaram lula quando em visita a manifestantes.respostas demonstraram total falta de auto censura de lula. fala que vem a mente deixando espaco para que se entenda como desrespeito a poderes e ameacas.o mais deprimente e a falta de carater. da mesma forma leviana que fala nega sem nenhuma cerimonia.ofende a logica e as nocoes de coerencia.como se dissesse quem estava la era eu. comentarios sairam de minha boca mas nao fui eu quem falou. foi um amigo.o brasil ja virou piada devido a passividade das autoridades.confirmadas as declaracoes configuram desacato e ameaca. crimes previstos em lei.esse senhor nao tem foro privilegiado. e ninguem na hierarquia do nada pt. o que dizer na estrutura brasil.por que goza de privilegios podendo gozar da nossa cara e na nossa cara,fake
urgente tentaram matar o deputado tiririca,urgentetentaram matar o_unico politico honesto do brasil atencao a midia globo sbt record quer mostrar isso entao compartilhe na eleicao vergonhosa que votou pela absolvicao do presidente michel temer a voz de tiririca nadou contra a corrente e chamou a atencao dos deputados que trocaram suas conviccoes politicas em troca de r 16 bilhoes em verbas. chamado para dar seu voto o deputado francisco everardo mais conhecido como tiririca surpreendeu a camara dos deputados com estas palavras fortes estou com o povo. eu sou do povo. deus e contra injustica. eu nao posso fechar os meus olhos pra tudo isso. meu partido pediu pra votar a favor do temer mas eu nao vou fazer isso. posso ate perder meu mandato. posso ate voltar pro circo. mas nao faco o povo de palhaco. eu voto contra o temer. eu voto a favor do brasil. se ele nao e culpado que prove sua inocencia. so acho estranho quem se diz inocente gastar bilhoes do dinheiro publico pra pedir voto aos deputados. eu devo ser muito burro mesmo. nao entendo a logica destes politicos. nem quero entender. os corruptos desse pais nao vao matar a voz desse guerreiro pois ele e a voz do povo,fake
jovem que tatuou dilma no braco faz vaquinha para tirar as tatuagens,a estudante patricia poeira estaria iniciando uma campanha na internet para arrecadar dinheiro para apagar a tatuagem. a triste historia da estudante de rntlnlgtt que havia tatuado o nome da presidente dilma rousseff em seus bracos e agora um ano depois teria se arrependido do que fez e estaria fazendo uma vaquinha na web para remover as tatuagens.a moca segundo o que afirma a noticia ja nao anda pelas ruas com camisas de manga curta para esconder a homenagem feita a politica e diz se arrepender muito do que fez por_isso a cirurgia para a remocao das tatuagens.,fake
urgente mec manda estados e municipios reduzirem salarios de professores assista e compartilhe...,da redacao o desgoverno temer pmdb atraves do ministerio da educacao esta orientando prefeitos e governadores a reduzirem salarios de professores da educacao basica publica de todo o pais. a gravissima denuncia e do prof. joao correia dirigente do sintepi um dos maiores sindicatos de trabalhadores em educacao do brasil. o mec atualmente e dirigido por mendonca filho dempe. ver video mais abaixo.de acordo com o lider sindical a reducao salarial e para ser feita atraves da reformulacao dos planos de carreira dos educadores. medida foi tomada agora em novembro e esta em consonancia com a pec 55 pec da morte que preve congelamento de investimentos em educacao por vinte anos. prefeitos e governadores que nao se adequarem a tal orientacao serao penalizados atraves da retencao de repasses federais.,fake
flagra de sergio moro apos julgar lula comove o brasil,ele permaneceu assim por 40 minutos. muito abatido sergio moro foi flagrado por um reporter na sala de audiencia ele estava ha 40 minutos cabisbaixo e sozinho a cena impressionou o reporter e sua equipe ..entenda no julgamento de luiz inacio lula da silva presidido pelo juiz federal sergio moro a sentenca foi de 9 anos e meio de prisao.apos o termino moro fez um desabafo a reporteres dizendo que ele como pessoa nao tinha nenhuma satisfacao de fazer a condenacao do ex presidente porem achava vergonhoso para alguem no cargo tao alto que lula tinha estar envolvido em esquemas de corrupcao e lavagem de dinheiro. ressaltou o juiz que mesmo ele sendo expresidente nao estaria acima da lei e que foi julgado como qualquer outro cidadao brasileiro.flagrante no final do julgamento sergio moro permaneceu sozinho na sala de audiencia uma equipe de reportagem resolveu aguardar a saida do juiz porem em virtude de sua demora em sair da sala o reporter resolveu entrar no tribunal e se deparou com uma cena chocante. o excelentissimo juiz totalmente esgotado aparece debrucado sobre sua biblia em cima da mesa no que parecia ser um momento unico onde ele parecia descansar no divino recompondo sua forca por meio da fe.,fake
menores infratores matam homossexual e deixam maria do rosario confusa em entrevista,durante uma coletiva a exministra dos direitos humanos a petista maria do rosario teve um mal subito que acabou obrigandoa a encerrar a entrevista.ela passa bem segundo um de seus dois mil quinhentos e setenta e quatro assessores.a exministra falava sobre o homicidio de um produtor de televisao assumidamente homossexual que foi brutalmente assassinado e jogado em um canavial no interior do estado de sao paulo.o busilis comecou quando um reporter informou a deputada que os responsaveis pelo homicidio eram 04 di menor e que nem ficariam presos gracas a rejeicao a proposta de reducao da maioridade penal.imediatamente a ministra comecou a piscar e contorcer os labios pronunciando palavras ininteligiveis.ela disse certo momento considerar um absurdo a tentativa de criminalizacao da juventude que pretende a direita fascista mas_tambem falou que e um absurdo que pessoas sejam mortas por sua orientacao de genero.questionada como deveriam ser punidos os autores do crime rosario corrigiu crime nao o que eles cometeram foi um ato infracional e apos apreciacao pelo judiciario nao serao penalizados mas submetidos a medidas socioeducativas.neste momento nosso correspondente indagou se a lei nao estaria sendo branda demais com os bandidos havendo a ministra respondido que nao sao bandidos. sao menores em conflito com a lei e se retirou da sala fingindo estar a atender o celular ignorando os assessores que a advertiam que o aparelho no qual ela fingiu falar era na verdade o controle remoto do arcondicionado.o psiquiatra agenor antao de aragones antulio afirmou que pessoas desequilibradas quando confrontadas com situacoes reais tendem a ter surtos melindrosos mas que na maioria das vezes e mera retorica para fugir da situacao complicada.o psiquiatra lembrou do caso do universitario da usp que fingiu um ataque apos ser confrontado com fatos. na usp e muito comum asseverou o medico.a futura governadora do rs ja afirmou atraves da imprensa que nao ira comentar o caso pois nao pode ser contra gays nem contra menores criminosos que afinal sao sua base eleitoral.,fake
evo morales quer criminalizar o evangelismo na bolivia,o novo codigo do sistema penal da bolivia esta deixando os cristaos preocupados. um detalhe pode mudar o curso do cristianismo no pais. e que o artigo 88 preve prisao de 7 a 12 anos para qualquer um que incentivar pessoas a participarem de organizacoes religiosas ou de culto. por esse motivo os lideres evangelicos locais estao pedindo a anulacao do novo documento que na verdade pretende criminalizar a evangelizacao no pais.o texto do novo codigo penal ressalta sera sancionado com prisao de sete 7 a doze 12 anos e reparo financeiro a pessoa que por ele proprio ou por terceiros capture transporte transfira prive de liberdade acolha ou receba pessoas com o fim de fazer o recrutamento de pessoas para sua participacao em conflitos armados ou organizacoes religiosas ou de culto.ainda em fase de aprovacao o novo codigo penal tera o poder se silenciar praticamente dois milhoes de bolivianos evangelicos que por sua representam 19 da populacao.para demonstrar indignacao diversos lideres evangelicos uniram forcas na praca murillo na cidade de la paz capital da bolivia. eles pediram a revogacao do novo codigo penal em frente do palacio do governo e da assembleia legislativa na ultima segundafeira 8. os homens aproveitaram para orar pela liberdade religiosa.miguel machaca monroy e pastor e presidente das igrejas evangelicas de la paz. ele questiona quer dizer que se levarmos uma pessoa ou um grupo para um acampamento eles irao nos denunciar nao poderei sair para pregar o evangelho.o que mais prejudicaa nova legislacao nao prejudica apenas o fato de evangelizar mas todo o efeito que compartilhar o evangelho causa. segundo miguel o novo artigo atrapalha sua atuacao especialmente na ajuda aos necessitados e na restauracao de lares disfuncionais e afeta tambem seu trabalho de atrair acolher e ajudar as pessoas aprisionadas em vicios como o alcoolismo e a toxicodependencia.restricao a dignidade humanaa igreja adventista tambem se manifestou sobre novo codigo penal na bolivia. em artigo publicado oficialmente a instituicao religiosa afirma que restringir esse direito e uma restricao a dignidade humana.a igreja adventista do setimo dia sustenta que a liberdade religiosa e um direito humano conforme afirmado na declaracao universal dos direitos humanos e em outros instrumentos internacionais e nacionais entende que restringir esse direito e uma restricao a dignidade humana salienta.e ainda diz a igreja se relaciona com as autoridades nacionais e locais na defesa desta pratica com o objetivo de proporcionar um ambiente positivo para o livre exercicio desse direito e motiva todas as pessoas a serem defensoras desse principio. a igreja percebe com preocupacao qualquer ameaca a esse direito humano fundamental.,fake
palhaco preso em cascavel recebeu r 333.50000 do governo federal,dinheiro foi destinado a montagem de um espetaculo circense. leonides defende dilma no facebook e ataca opositores ao governo.leonides carlo taborda quadra. o nome pode nao representar muito mas se falarmos do palhaco preso em cascavel no ultimo dia 14 apos xingar a policia militar e o governador beto richa psdb na vespera das manifestacoes de domingo certamente sabera de quem se trata. pois bem taborda quadra o palhaco de cascavel foi agraciado com nada mais nada menos do que r 333.50000 trezentos e trinta e tres mil e quinhentos reais em um projeto aprovado pelo ministerio da cultura comandado pelo petista juca ferreira e subordinado a presidente dilma rousseff pt.em seu perfil no facebook o palhaco leonides deixa claro seus posicionamentos. e contra os burgueses reacionarios e defende com unhas e dentes o atual governo. inclusive confirmou presenca em um evento intitulado 16agosto eu nao vou. ele realmente nao foi mas conseguiu provocar a confusao com a pm apos xingar os soldados e o governador do estado apenas dois dias antes dos protestos.a cooptacao realizada pelo governo federal a artistas e longa e conhecida. nao a toa nomes como chico buarque marieta severo e caetano veloso sao sempre os primeiros a defender dilma. nao chega a surpreender que isto chegue na ponta.nao a toa os perfis de robos utilizados por petistas no facebook e no twitter usaram a historia do palhaco leonides como contraponto as manifestacoes de domingo.,fake
mr. fora temer ate os chineses sabem que ele e,segundo informacoes da telesur empresario chines teria chamado michel temer de mister fora temer. welcome mr. fora temer. o assunto repercutiu especialmente na imprensa internacional.apos uma reuniao com centenas de empresarios locais o recemempossado presidente brasileiro se posicionou na saida do evento para saudar alguns peixes graudos e tentar alocar recursos para o brasil.um desses empresarios acompanhado de um interprete foi conversar com o nosso presidente.o problema foi que o milionario resolveu dispensar o interprete e fez uma lambancapouco informado sobre o homem que assumiu o lugar de dilma o empresario chines soltou uma perola em ingleswelcome mr. fora temere ... parece que a coisa nao anda boa para o lado do exvice de dilmaem tempo o presidente ilegitimo foi vaiado hoje na abertura do desfile de 7 de setembro em brasilia na esplanada dos ministerios. manifestantes exigem novas eleicoes presidenciais. mesmo com a intransigente seguranca que arrancava ate adesivos de convidados com as inscricoes que incomodam os golpistas fora temer.se ate os empresarios chineses sabem que ele e porque os adesivos incomodam tanto,fake
petistas ja articulam renuncia de dilma reforma constitucional e guerra total aos inimigos da midia,afetada psicologicamente pelo panelacobuzinaco de domingo a noite dilma roussef foi obrigada a justificar por que tera de almocar hoje com o presidentro luiz inacio lula da silva certamente para discutir o indigesto tema da reacao antecipada que o pt e aliados radicaloides programam na sextafeira 13 contra a megamanifestacao popular prevista para domingo dia 15. novamente dilma faz o brasil morrer de rir com seu argumento para beijar a mao de lula sempre acusado de mandar no desgoverno dela o presidente lula e uma lideranca que sempre contribui porque ele tem nocao de estabilidade e tem compromisso com o pais. ele nao e uma pessoa que gosta de botar fogo em circo.so dilma finge desconhecer que lula ja botou fogo no circo seguindo aquela maxima de que a alegria do palhaco e ver o circo pegar fogo quando rompeu criminosamente com a ordem democratica no ato da abi em defesa da petrobras ao convocar o emprego do exercito do stedile contra seus opositores e inimigos. dilma tambem finge ignorar um movimento tatico ousado que ja comeca a ser considerado por alguns cardeais petistas a renuncia programada da presidente da republica para evitar que o esquema saia do controle deles. juristas abertamente ligados ao pt ja tratam do assunto publicamente. a cupula partidaria aborda a questao secretamente como_se isto fosse possivel no brasil da arapongagem ampla geral irrestrita e ilegal.o pt tem um plano b para enfrentar o desgaste politico que chega ao extremo na beira do impasse institucional que se aprofunda a cada dia a cada delacao da lava jato a cada aumento da inflacao da carestia e do desemprego e a cada bobagem dita e feita pelos dirigentes partidarios e do proprio desgoverno. a saida petista seria investir abertamente naquela revisao constitucional que nunca se teve coragem de apresentar publicamente. o plano so esbarra no extremo desgaste do congresso sem legitimidade para propor mudanca de qualquer coisa enquanto os presidentes da camara e do senado figuram como investigaveis no petrolao. o golpe constitucional e visto como a_unica saida viavel para o pt continuar sua hegemonia no estado que vem aparelhando de forma intensa ha mais de uma decada.a maquina nazicomunopetralhabolivariana ainda tem outras cartas na manga. a principal delas e aproveitar a crise economica para arrasar de vez com os principais veiculos de comunicacao da chamada imprensa golpista que incomodam mais o regime da republica sindicalista. o plano consiste em cortes de publicidade oficial cobrancas de impostos sempre em atraso e pressoes sindicais para acoes trabalhistas de alto valor junto com uma rigorosa fiscalizacao seletiva do ministerio do trabalho nestas empresas. os ataques tambem vao atingir as familias que controlam os feudos midiaticos ainda mais agora porque estao aderindo e incentivando a onda de protestos e pedidos de impeachment. na mesma linha os petistas investem na criacao de novos grupos de midia principalmente na area de internet para que se tornem em breve candidatos a suceder as empresas que vierem a quebrar. neste cenario de guerra globo e abril devem se cuidar...enquanto o partido que a atura arma um golpe constitucional e midiatico dilma demonstra fragilidade e absoluta falta de condicao moral para continuar presidindo o pais. tanto_que ate acabou forcada a incluir o indesejavel termo impeachment que se popularizou em seus discursos como o de ontem eu acho que ha que caracterizar razoes para o impeachment e_nao o terceiro turno das eleicoes. o que nao e possivel no brasil e a gente nao aceitar a regra do jogo democratico. a eleicao acabou houve primeiro e segundo turnos. terceiro turno das eleicoes para qualquer cidadao brasileiro nao pode ocorrer a nao ser que voce queira uma ruptura democratica. se quiser uma ruptura democratica eu acredito que a sociedade brasileira nao aceitara rupturas democraticas e acho que amadurecemos suficiente para isso. eu acredito que a manifestacao quem convocar convoque do jeito que quiser. ninguem controla quem convoca. a manifestacao tera as caracteristicas que tiverem seus convocadores. ela em si nao representa nem a legalidade nem a legitimidade de pedidos que rompem com a democracia.dilma prosseguiu com sua indefensavel defesa pessoal na base da velha demagogia de sempre fazendo a indevida comparacao historica entre o descalabro vivido agora e a tal ditadura militar a qual sempre recorre quando precisa se passar de vitima eu acredito que o brasil tem uma caracteristica que julgo muito importante e que todos nos temos de valorizar que e o fato de que aqui as pessoas podem se manifestar tem espaco para isso_e tem direito a isso. eu sou de uma epoca em que se a gente se manifestasse ou fizesse alguma coisa acabava na cadeia podia ser torturado ou morto. o fato de o brasil evoluir passar pela constituinte de 88 passar pelo processo democratico e garantir o direito de manifestacao e algo absolutamente valorizado por todos nos que chegamos a democracia e temos de conviver com as diferencas com as manifestacoes o que nao podemos aceitar e a violencia. qualquer forma de violencia nao podemos aceitar mas manifestacoes pacificas sao da regra democratica.o unico probleminha cara presidenta dilma e que o brasil definitivamente nao e e nem nunca foi democratico. por_isso nosso impasse institucional pode redundar em coisa muito pior que uma ditadura com alto risco de guerra civil ja_que os segmentos marginais e criminosos da sociedade nunca estiveram tao armados ate os dentes quanto agora. o cenario de desgaste politico e economico nunca foi tao perigoso e imprevisivel.,fake
